gene,Chromosome_name,Strand,Description,Cluster,mESCs_pbulk_Rlog_rep1,mESCs_pbulk_Rlog_rep2,mESCs_pbulk_Rlog_rep3,PGNs_pbulk_Rlog_rep1,PGNs_pbulk_Rlog_rep2,PGNs_pbulk_Rlog_rep3,DNs_pbulk_Rlog_rep1,DNs_pbulk_Rlog_rep2,DNs_pbulk_Rlog_rep3,OLGs_pbulk_Rlog_rep1,OLGs_pbulk_Rlog_rep2,OLGs_pbulk_Rlog_rep3,OLGs_vs_mESCs_LogFC,OLGs_vs_mESCs_pvalue,OLGs_vs_mESCs_padj,DNs_vs_mESCs_LogFC,DNs_vs_mESCs_pvalue,DNs_vs_mESCs_padj,PGNs_vs_mESCs_LogFC,PGNs_vs_mESCs_pvalue,PGNs_vs_mESCs_padj,DNs_vs_OLGs_LogFC,DNs_vs_OLGs_pvalue,DNs_vs_OLGs_padj,PGNs_vs_OLGs_LogFC,PGNs_vs_OLGs_pvalue,PGNs_vs_OLGs_padj,DNs_vs_PGNs_LogFC,DNs_vs_PGNs_pvalue,DNs_vs_PGNs_padj,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,      
Elk4,1,1.0,ELK4  member of ETS oncogene family [Source:MGI Symbol;Acc:MGI:102853]     ,3,4.560297065,3.5640426539999996,3.696614617,3.066474173,1.829903812,2.234056137,1.997219569,2.131096131,1.1068029990000001,2.779914278,1.7550954280000002,3.4781590889999996,nan,nan,nan,3.4630743230000003,0.002513924,0.00480395,2.178863785,0.009088408000000001,0.015426685,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, member of ETS oncogene family [Source:MGI Symbol;Acc:MGI:102853],nan,nan,nan,nan,nan,nan,  member of ETS oncogene family [Source:MGI Symbol;Acc:MGI:102853]     
Epas1,17,1.0,endothelial PAS domain protein 1 [Source:MGI Symbol;Acc:MGI:109169]      ,4,4.863836275,3.798135995,3.9160374630000003,4.8915345189999995,4.410407578,5.325337146,4.087272082,3.491006591,3.9602130719999997,6.441640615,6.627394057,7.340832459,-3.385251708,1.33e-10,6.88e-10,nan,nan,nan,nan,nan,nan,4.034299692,2.13e-09,3.77e-08,2.499288178,8.79e-06,6.929999999999999e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Esrra,19,-1.0,estrogen related receptor  alpha [Source:MGI Symbol;Acc:MGI:1346831]     ,1,2.550230182,1.764177356,2.2374061640000003,5.289984931,5.588496786,5.04504969,4.352352356,3.738180385,4.023353868,3.89085335,4.500173418,4.362929793,-3.2023467880000003,2.49e-06,8.5e-06,-2.925288107,2.53e-07,7.5e-07,-4.610742913999999,2.27e-21,1.36e-20,nan,nan,nan,nan,nan,nan,-1.685454807,0.003708656,0.017490417,nan, alpha [Source:MGI Symbol;Acc:MGI:1346831],nan,nan,nan,nan,nan,nan,  alpha [Source:MGI Symbol;Acc:MGI:1346831]     
Esrrb,12,1.0,estrogen related receptor  beta [Source:MGI Symbol;Acc:MGI:1346832]     ,3,6.205223294,6.03485824,6.468177183,0.163361224,0.281975299,0.23310358399999997,0.41582744200000005,0.545220822,0.463123237,1.1917333159999999,1.36391097,1.2578832629999999,6.592678649,3.7999999999999996e-08,1.57e-07,7.88881929,1.6699999999999998e-11,6.690000000000001e-11,8.417281187,4.67e-13,1.8700000000000003e-12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, beta [Source:MGI Symbol;Acc:MGI:1346832],nan,nan,nan,nan,nan,nan,  beta [Source:MGI Symbol;Acc:MGI:1346832]     
Esrrg,1,1.0,estrogen-related receptor gamma [Source:MGI Symbol;Acc:MGI:1347056]      ,1,-0.312310815,-0.315364759,-0.224195898,2.381720027,1.95626332,3.181833021,3.374048981,2.317113853,3.941481923,2.411406998,2.594360462,1.258363306,-7.45366356,2.9699999999999997e-07,1.13e-06,-9.280530334,3.3e-14,1.55e-13,-8.206999216,2.26e-11,8.2e-11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Ets1,9,1.0,E26 avian leukemia oncogene 1  5' domain [Source:MGI Symbol;Acc:MGI:95455]     ,3,3.6353642410000004,3.942979341,3.654942717,2.382926078,0.879691441,2.946333531,0.9715171909999999,1.045527277,2.491119985,2.701592898,1.6731681230000002,3.824153627,nan,nan,nan,3.1616609060000003,0.006445534,0.011639058,2.016954637,0.021511042999999997,0.034372891,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, 5' domain [Source:MGI Symbol;Acc:MGI:95455],nan,nan,nan,nan,nan,nan,  5' domain [Source:MGI Symbol;Acc:MGI:95455]     
Ets2,16,1.0,E26 avian leukemia oncogene 2  3' domain [Source:MGI Symbol;Acc:MGI:95456]     ,7,4.320904444,4.8344116999999995,3.2070846860000004,4.9797393660000004,5.376243076000001,4.806468778,5.422820147,4.918806228,5.177784315,2.351622601,2.47150781,2.397566808,3.221450199,0.004256983,0.00926662,nan,nan,nan,nan,nan,nan,-4.420584732,0.000179345,0.001140858,-4.265603194,0.000275024,0.001498622,nan,nan,nan,nan, 3' domain [Source:MGI Symbol;Acc:MGI:95456],nan,nan,nan,nan,nan,nan,  3' domain [Source:MGI Symbol;Acc:MGI:95456]     
Etv4,11,-1.0,ets variant 4 [Source:MGI Symbol;Acc:MGI:99423]      ,3,4.185272653999999,4.543452229,4.737336942,1.5641134859999999,2.8876418160000004,0.7364645740000001,0.885853138,0.9746518890000001,0.922955848,1.5028773869999998,5.861237687000001,2.841967823,nan,nan,nan,5.121459016,0.000462671,0.000974325,3.155926397,0.014772798,0.024227572000000003,5.352740668,0.000326081,0.0019385829999999998,3.387208049,0.010406575,0.034126633999999996,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Etv5,16,-1.0,ets variant 5 [Source:MGI Symbol;Acc:MGI:1096867]      ,2,9.494135941,9.238786642,9.217494462000001,6.767793994,6.964350297999999,6.815174667999999,7.865063902999999,8.135791589,8.232284469,4.335117295,7.3055573570000005,7.095352953,3.380659577,3.79e-19,3.3799999999999997e-18,1.568535007,7.54e-08,2.33e-07,3.245011595,9.82e-27,7.4e-26,-1.81212457,2.55e-06,2.48e-05,nan,nan,nan,1.6764765869999998,8.72e-08,1.32e-06,nan,nan,nan,nan,nan,nan,nan,nan,      
Etv6,6,1.0,ets variant 6 [Source:MGI Symbol;Acc:MGI:109336]      ,5,4.466454874,5.247897621,5.043534593,3.215976985,4.333344363999999,4.138439865,4.568380475,4.8603247089999995,4.84767741,4.514136439,5.244783457,5.292326,nan,nan,nan,nan,nan,nan,1.436531859,0.006524394,0.011277901000000002,nan,nan,nan,1.570760546,0.014906898,0.045615739,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Fos,12,1.0,FBJ osteosarcoma oncogene [Source:MGI Symbol;Acc:MGI:95574]      ,4,6.1198490660000004,7.031581123,6.085169988,7.547175707999999,8.760000405,8.008947765,7.765698331,8.077720072,7.351491887999999,9.356701801,9.215125818999999,9.437788603,-3.800744851,2.14e-17,1.73e-16,-1.7786626719999998,8.05e-05,0.00018597400000000002,-2.36651801,1.0699999999999999e-07,3.01e-07,2.0220821780000002,9.84e-06,8.45e-05,1.4342268409999999,0.001500147,0.0065915719999999995,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Fosb,7,-1.0,FBJ osteosarcoma oncogene B [Source:MGI Symbol;Acc:MGI:95575]      ,4,4.394855038999999,4.2293657,4.192746018999999,6.244032945,6.923106764,6.123588082,5.970793817000001,6.733605613,5.958157839,7.560448066,8.001575971,8.023607146,-5.014201875,9.409999999999999e-50,3.9199999999999996e-48,-2.942276169,4.1e-17,2.25e-16,-3.2215209419999997,4.14e-22,2.57e-21,2.071925705,2.16e-08,3.18e-07,1.792680932,4.24e-07,4.28e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Fosl2,5,1.0,fos-like antigen 2 [Source:MGI Symbol;Acc:MGI:102858]      ,6,1.910704549,4.781397183,3.430945846,5.157186773,5.460492037000001,5.112577372,3.640609284,1.5372434259999999,3.23551597,1.970264391,4.374593356,2.015278225,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.80648507,0.011067388000000001,0.043202698,nan,nan,nan,nan,nan,nan,nan,nan,      
Foxa1,12,-1.0,forkhead box A1 [Source:MGI Symbol;Acc:MGI:1347472]      ,7,-1.595843044,-1.838305054,-1.68029947,0.964555962,-0.093560898,1.06984195,5.361695964,5.783070455,5.190598087,0.859356369,1.02826176,0.924249126,nan,nan,nan,-11.9828651,7.749999999999999e-30,7.900000000000001e-29,nan,nan,nan,-6.0135869479999995,1.54e-06,1.58e-05,nan,nan,nan,6.271137615,1.35e-08,2.4e-07,nan,nan,nan,nan,nan,nan,nan,nan,      
Foxj2,6,1.0,forkhead box J2 [Source:MGI Symbol;Acc:MGI:1926805]      ,1,3.573218372,4.943059029,3.768569312,6.363323349,5.899861884,6.274867897999999,6.121668366000001,6.082145357000001,6.1695924689999995,6.1544813529999995,6.810545653999999,6.428474585,-3.0987204260000003,3.83e-08,1.58e-07,-2.619383255,1.31e-06,3.63e-06,-2.7137094989999997,3.48e-07,9.37e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Foxk1,5,1.0,forkhead box K1 [Source:MGI Symbol;Acc:MGI:1347488]      ,6,3.657958513,4.214394376,3.7565073160000004,5.491912953,4.953912355,5.5950613460000005,4.754528689,4.622315855,4.8340855419999995,4.1332655019999995,5.001211509,4.211233663,nan,nan,nan,-1.225298701,0.006723506999999999,0.012098181000000001,-2.1026542530000003,1.47e-07,4.0899999999999997e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Foxm1,6,1.0,forkhead box M1 [Source:MGI Symbol;Acc:MGI:1347487]      ,3,5.420588873,4.862876201000001,5.896865494,0.60084284,1.701634221,1.633207197,2.4514873059999998,2.043299897,1.955748185,1.483835339,1.651445055,1.5482303030000002,5.461902683,8.05e-06,2.6000000000000002e-05,4.383471005,8.809999999999999e-07,2.49e-06,5.774961857,1.4599999999999998e-07,4.06e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Foxo1,3,1.0,forkhead box O1 [Source:MGI Symbol;Acc:MGI:1890077]      ,3,6.5720364920000005,6.557652221000001,6.5293863839999995,3.122736877,3.912834829,3.8292416830000002,3.19539001,2.065299754,2.799799526,5.760295546,5.610124495,5.098019132,1.2942351029999999,0.0007297310000000001,0.001816881,5.448083008999999,4.7e-11,1.8200000000000002e-10,3.935418335,5.070000000000001e-20,2.86e-19,4.153847905,1.61e-06,1.64e-05,2.641183232,4.32e-07,4.36e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Foxp2,6,1.0,forkhead box P2 [Source:MGI Symbol;Acc:MGI:2148705]      ,7,-0.715915234,-0.72758152,-0.7428236429999999,2.193041274,2.387806742,1.7766378919999999,7.332497032000001,7.216310247999999,7.179858049,2.95104176,4.617058482,3.701581613,-10.65566172,2.79e-20,2.68e-19,-14.78088779,1.9e-41,3.48e-40,nan,nan,nan,-4.125226067,9.32e-12,2.21e-10,2.528935615,0.002610972,0.010653748000000001,6.654161683,2.7e-22,2.3199999999999997e-20,nan,nan,nan,nan,nan,nan,nan,nan,      
Fubp1,3,1.0,far upstream element (FUSE) binding protein 1 [Source:MGI Symbol;Acc:MGI:1196294]      ,2,9.609535794,9.282802907,9.358785999,8.252354742,8.277649959,8.328641202,8.348618249,8.445826204,8.640849606,8.250376654,7.519780746,8.16712752,1.8462622340000001,1.97e-16,1.5099999999999999e-15,1.234703252,4.6900000000000004e-12,1.95e-11,1.5030322040000001,9.550000000000001e-18,4.870000000000001e-17,-0.611558982,0.009522334,0.033637468999999996,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Gabpa,16,1.0,GA repeat binding protein  alpha [Source:MGI Symbol;Acc:MGI:95610]     ,3,7.645589022999999,6.948893889,7.468161434,5.03287454,4.564320536,5.041036194,4.559015186,4.73932925,4.876740572,5.597812059,4.616799126,3.975991076,3.2091338410000003,8.240000000000001e-09,3.62e-08,3.516202653,1.41e-15,7.16e-15,3.25657606,9.83e-17,4.77e-16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, alpha [Source:MGI Symbol;Acc:MGI:95610],nan,nan,nan,nan,nan,nan,  alpha [Source:MGI Symbol;Acc:MGI:95610]     
Gata2,6,1.0,GATA binding protein 2 [Source:MGI Symbol;Acc:MGI:95662]      ,5,2.779860483,1.627342619,1.6195499830000002,-0.091936209,-0.026626287000000002,-0.062294034000000005,0.108539198,0.213235265,0.152619331,2.493579912,0.817706982,0.739422481,nan,nan,nan,nan,nan,nan,3.710317552,0.031172467000000002,0.048419307,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Gcm1,9,1.0,glial cells missing homolog 1 [Source:MGI Symbol;Acc:MGI:108045]      ,3,3.502690058,1.4228636630000002,3.426189635,-0.067341686,-0.023058895,-0.041843873,0.047165497,0.16316470000000002,0.096004584,0.6920457170000001,0.8328960390000001,0.746159832,nan,nan,nan,nan,nan,nan,4.563409743,0.016236685,0.026455508,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Gli2,1,-1.0,GLI-Kruppel family member GLI2 [Source:MGI Symbol;Acc:MGI:95728]      ,3,3.6490749769999997,2.943298146,2.799062217,0.035311465,0.106506291,0.07687941400000001,0.235347731,0.35413247299999995,0.285359612,2.7988601969999998,1.039946365,0.951127323,nan,nan,nan,4.472736198,0.002987396,0.00565271,4.963849354,0.000881321,0.001708721,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Gli3,13,1.0,GLI-Kruppel family member GLI3 [Source:MGI Symbol;Acc:MGI:95729]      ,3,5.966914932000001,6.147686962000001,6.135364869,0.589966503,1.710455141,1.639621605,0.828909164,0.92961367,0.871208633,4.236946819,1.6710922590000001,1.565522729,3.6744700619999997,6.21e-06,2.0300000000000002e-05,7.452354926,7.559999999999999e-11,2.88e-10,6.488738037,3.4500000000000005e-10,1.16e-09,3.777884864,0.002293199,0.010280240999999999,2.814267975,0.016442968999999998,0.049459551,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Grhl2,15,1.0,grainyhead like transcription factor 2 [Source:MGI Symbol;Acc:MGI:2182543]      ,3,5.673611986,4.769749166,5.974500535,0.153294375,0.265058225,0.21895983,0.391628318,0.523596182,1.669172289,1.157233919,1.3259827990000002,1.222066545,5.770754046,8.03e-06,2.59e-05,6.239713209,1.08e-06,3.03e-06,7.565805309,1.54e-09,4.99e-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Hbp1,12,-1.0,high mobility group box transcription factor 1 [Source:MGI Symbol;Acc:MGI:894659]      ,3,8.668303305,9.246125911,8.841286112999999,6.029643494,5.451612045,6.085497834,5.9783864410000005,5.774163111,6.055128227000001,7.297775946000001,7.543793989,7.645685205,1.8271469790000001,4.2000000000000005e-10,2.0800000000000003e-09,3.981834907,3.95e-36,5.63e-35,4.048965448,7.0399999999999996e-43,1.0999999999999999e-41,2.154687928,1.58e-09,2.84e-08,2.221818469,4.71e-11,8.069999999999999e-10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Hes1,16,1.0,hes family bHLH transcription factor 1 [Source:MGI Symbol;Acc:MGI:104853]      ,4,3.069284174,3.14996538,3.4983895489999997,6.47815471,6.7364885370000005,6.890114873,3.650763823,3.494118383,2.961122493,6.459028107000001,7.015123158,6.251552472999999,-4.683123903,6.409999999999999e-40,1.7899999999999998e-38,nan,nan,nan,-4.804365898,7.13e-55,1.6899999999999998e-53,4.527734006,1.26e-11,2.9499999999999996e-10,nan,nan,nan,-4.648976001,6.929999999999999e-13,2.34e-11,nan,nan,nan,nan,nan,nan,nan,nan,      
Hey2,10,-1.0,hairy/enhancer-of-split related with YRPW motif 2 [Source:MGI Symbol;Acc:MGI:1341884]      ,4,0.8439387420000001,-1.389749291,-0.12782401599999998,-0.301272953,-0.155251769,2.676015584,1.199272263,0.137816286,0.06375442099999999,2.8365634889999995,5.3831838329999995,0.7807232559999999,-4.288361371000001,0.011981281000000002,0.024028214,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Hif1a,12,1.0,hypoxia inducible factor 1  alpha subunit [Source:MGI Symbol;Acc:MGI:106918]     ,3,7.711015203,7.904023018999999,7.642897822,7.287314734,7.3105281589999995,7.396104856,7.399870384,7.21100251,7.287680695,7.487634104,6.973484124,7.701041103,nan,nan,nan,0.613040337,0.0014288389999999999,0.002831002,0.576087153,0.001355457,0.002573429,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, alpha subunit [Source:MGI Symbol;Acc:MGI:106918],nan,nan,nan,nan,nan,nan,  alpha subunit [Source:MGI Symbol;Acc:MGI:106918]     
Hinfp,9,-1.0,histone H4 transcription factor [Source:MGI Symbol;Acc:MGI:2429620]      ,2,4.446581901,3.141710067,4.88167437,3.8206348130000003,3.057482965,2.979433104,3.017428274,2.8354005589999995,3.739946567,1.8112250619999999,1.9564332430000002,1.857370666,3.847161105,0.002070259,0.004761417,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Hivep1,13,1.0,human immunodeficiency virus type I enhancer binding protein 1 [Source:MGI Symbol;Acc:MGI:96100]      ,7,3.8171186980000003,4.513894595,5.086931516,3.3568687969999997,4.6399403910000006,3.812117437,5.394162968,5.542246414,5.478673775,4.0827947710000005,4.288645718,3.6107700030000003,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.034943481,0.015091192,0.049055812000000004,nan,nan,nan,1.96541768,0.0021006560000000002,0.010906875,nan,nan,nan,nan,nan,nan,nan,nan,      
Hivep2,10,1.0,human immunodeficiency virus type I enhancer binding protein 2 [Source:MGI Symbol;Acc:MGI:1338076]      ,6,4.342063608999999,4.1219115660000005,3.841185518,8.600336375,8.5531201,8.739478799,5.271075021000001,5.457807647999999,5.638503201,6.149236809,6.152649442,5.868981334,-2.860634297,1.09e-14,7.59e-14,-2.029781625,4.92e-10,1.7600000000000001e-09,-6.1229262470000005,5.209999999999999e-147,4.9299999999999986e-145,nan,nan,nan,-3.2622919489999997,1.38e-18,4.83e-17,-4.093144622,3.03e-36,8.23e-34,nan,nan,nan,nan,nan,nan,nan,nan,      
Hlf,11,-1.0,hepatic leukemia factor [Source:MGI Symbol;Acc:MGI:96108]      ,1,1.96465271,1.311412169,2.458275243,6.017535892000001,5.934632353,6.108853537000001,6.678864676,6.891692381,6.461591906000001,4.966135059,6.547826115,7.14536045,-6.914122585,2.04e-14,1.3900000000000001e-13,-7.12422221,1.13e-15,5.73e-15,-6.304971759,1.3700000000000002e-12,5.370000000000001e-12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Hltf,3,1.0,helicase-like transcription factor [Source:MGI Symbol;Acc:MGI:1196437]      ,3,7.955795114,6.931945196,7.608740233,5.85662119,5.998294258,6.111894358,6.243712109,6.225694273999999,6.068305156,6.641809459,6.298254427000001,6.941341624,1.187323719,0.003302568,0.0073176330000000005,1.8474491919999998,7.28e-07,2.07e-06,2.114181154,6.520000000000001e-09,2.02e-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Hmga1,17,1.0,high mobility group AT-hook 1 [Source:MGI Symbol;Acc:MGI:96160]      ,3,9.919764041,9.658454862000001,9.513900507,0.788945227,0.920335268,0.866020534,1.0704707740000001,1.187392962,1.119657335,1.779727441,1.956737379,1.847733932,9.260010889,1.1699999999999999e-15,8.6e-15,10.56329584,1.6000000000000002e-20,1.0400000000000001e-19,11.09467062,1.04e-22,6.65e-22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Hmga2,10,-1.0,high mobility group AT-hook 2 [Source:MGI Symbol;Acc:MGI:101761]      ,3,5.84749747,6.37693857,5.9195695839999996,0.680498763,3.187043136,1.7111856330000002,0.92453857,1.026389317,0.967361742,2.85579923,3.053671848,1.64293166,4.478187446000001,6.39e-05,0.00018512700000000002,7.323825236,6.69e-10,2.38e-09,4.99166476,7.19e-11,2.53e-10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Hsf1,15,1.0,heat shock factor 1 [Source:MGI Symbol;Acc:MGI:96238]      ,3,5.821322847999999,5.516521016,5.8226557979999995,4.622941363,4.831963307,5.011901356,4.81207222,4.338752026,5.153211449,4.9371069919999995,5.57256429,4.748729703,nan,nan,nan,1.2523349940000001,0.0014298779999999999,0.0028327070000000003,1.244075581,0.000519413,0.001037841,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Hsf2,10,1.0,heat shock factor 2 [Source:MGI Symbol;Acc:MGI:96239]      ,3,6.64621168,6.25380977,6.60924638,5.590061432000001,5.376025175,5.606823557,5.56704014,5.259109598,5.2375603239999995,4.52240535,5.065283158,6.126701224,1.469500508,0.001388245,0.0033022579999999998,1.549803302,1.24e-05,3.14e-05,1.321944773,3.9899999999999994e-05,8.96e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Insm1,2,1.0,insulinoma-associated 1 [Source:MGI Symbol;Acc:MGI:1859980]      ,1,0.586177658,1.553930316,1.5486591790000002,4.439273518,3.9350449810000003,4.37716709,4.1808752160000004,3.2807403839999996,4.000925307,3.690012719,3.9016242039999995,5.245534185,-5.0804153869999995,2.1100000000000004e-09,9.78e-09,-4.250594401,1.94e-07,5.77e-07,-4.765218554,1.1e-09,3.58e-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Irf1,11,1.0,interferon regulatory factor 1 [Source:MGI Symbol;Acc:MGI:96590]      ,3,7.413698273,7.229023807000001,7.00790969,1.99160935,3.2577447530000003,2.088535439,3.493336746,2.501283539,2.934997552,2.024538281,3.4194282439999997,2.074795621,6.278772579,4.9e-08,2.01e-07,5.380275235,1.08e-18,6.4699999999999995e-18,6.169166196,7.77e-22,4.779999999999999e-21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Irf2,8,1.0,interferon regulatory factor 2 [Source:MGI Symbol;Acc:MGI:96591]      ,1,2.484092506,2.8149132000000003,2.323789792,5.51560763,5.6104305860000006,5.714384777999999,5.430636778999999,4.895275212,4.784684099,5.794455867000001,5.793393883999999,5.888992478,-4.951859695,1.3699999999999998e-31,2.4699999999999997e-30,-3.9521102960000003,2.97e-23,2.21e-22,-4.66404378,4.179999999999999e-39,5.59e-38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Irf3,7,1.0,interferon regulatory factor 3 [Source:MGI Symbol;Acc:MGI:1859179]      ,5,4.9412917069999995,4.605493023999999,4.7074648230000005,4.549677162,4.16931019,4.418449966,4.834319422,4.820560911,5.00143781,4.861137297,5.66528083,5.788029803,-1.018528288,0.01554492,0.03055852,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.548312654,0.0017375,0.00748444,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Jun,4,-1.0,jun proto-oncogene [Source:MGI Symbol;Acc:MGI:96646]      ,4,4.667132656000001,6.0046775629999996,5.836214492000001,7.946236627999999,8.137554117,8.089967287,7.701629093999999,7.7606385389999994,7.703421125,9.434976313,9.758162998,9.369797743,-5.314992686,2.22e-33,4.44e-32,-3.014084053,1.3800000000000002e-11,5.56e-11,-3.4588859660000004,4.12e-15,1.83e-14,2.300908632,3.33e-07,3.9e-06,1.85610672,3.1e-05,0.00021601700000000002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Junb,8,-1.0,jun B proto-oncogene [Source:MGI Symbol;Acc:MGI:96647]      ,1,0.396621148,0.39101680299999997,0.383783308,6.469181955,7.010088862999999,6.629181188,3.0331213810000004,4.517829296,4.2664106639999995,5.894466727,4.909805046000001,6.808540806,-12.90339426,2.7300000000000005e-29,4.3e-28,-10.24773229,2.59e-19,1.58e-18,-13.63855402,6.0699999999999995e-33,6.129999999999999e-32,2.655661971,3.85e-05,0.00028849400000000003,nan,nan,nan,-3.3908217310000004,3.3e-08,5.45e-07,nan,nan,nan,nan,nan,nan,nan,nan,      
Jund,CHR_MG190_MG3751_PATCH,1.0,jun D proto-oncogene [Source:MGI Symbol;Acc:MGI:96648]      ,4,2.571691085,2.649842688,2.8223698039999996,6.7538241679999995,6.628798525,6.637388028999999,6.056441067000001,5.997537809,6.251949273999999,7.968480228,7.378499173,7.128044953,-7.435879291,3.7899999999999984e-143,1.0299999999999998e-140,-5.580880611,1.0299999999999998e-76,4.479999999999999e-75,-6.32164904,8.869999999999996e-118,6.019999999999998e-116,1.85499868,5.03e-09,8.310000000000001e-08,1.114230251,0.000129845,0.000770182,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Jund,8,1.0,jun D proto-oncogene [Source:MGI Symbol;Acc:MGI:96648]      ,4,2.571691085,2.649842688,2.8223698039999996,6.7538241679999995,6.628798525,6.637388028999999,6.056441067000001,5.997537809,6.251949273999999,7.968480228,7.378499173,7.128044953,-7.435879291,3.7899999999999984e-143,1.0299999999999998e-140,-5.580880611,1.0299999999999998e-76,4.479999999999999e-75,-6.32164904,8.869999999999996e-118,6.019999999999998e-116,1.85499868,5.03e-09,8.310000000000001e-08,1.114230251,0.000129845,0.000770182,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Klf3,5,1.0,Kruppel-like factor 3 (basic) [Source:MGI Symbol;Acc:MGI:1342773]      ,3,6.414214911,6.8335567379999995,6.897257466,5.047643732,5.024680687,5.2287336689999995,4.021238501,4.38457635,3.856828181,5.555591675,4.039822845,6.028646201,1.620211836,0.00040206800000000005,0.001043834,3.6541794089999997,6.96e-13,3.04e-12,2.153791709,2.7100000000000004e-09,8.62e-09,2.033967574,0.0007661489999999999,0.004037662,nan,nan,nan,-1.5003877,0.005228359,0.023265672999999997,nan,nan,nan,nan,nan,nan,nan,nan,      
Klf4,4,-1.0,Kruppel-like factor 4 (gut) [Source:MGI Symbol;Acc:MGI:1342287]      ,5,6.462329917999999,5.8368860279999994,6.657990466,5.20680796,6.049036201,6.291649372,5.761720361,5.40811215,5.11893909,7.159709503999999,6.844249124,6.89217489,nan,nan,nan,1.256711175,0.005876499,0.010677362,nan,nan,nan,2.061059554,2.9199999999999998e-05,0.00022365200000000002,1.400154366,0.002403696,0.009913815999999999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
